day,طحين,سكر,زيت,رز,خميرة,ملح,عدس,فول,حمص,تمر,لبن,جبنة,بيض,شاي,قهوة,معكرونة,عسل,سمك,لحم,دجاج,برغل,صلصة,حلاوة,السيرج,سيرج,بطاطا,بندورة,خيار,فلفل,باذنجان
2025-05-02,26.67,33.33,0.0,6.67,0.0,0.0,20.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-03,15.91,45.45,0.0,5.68,0.0,0.0,5.68,4.55,4.55,0.0,0.0,2.27,0.0,0.0,0.0,3.41,0.0,0.0,0.0,0.0,0.0,0.0,5.68,0.0,6.82,0.0,0.0,0.0,0.0,0.0
2025-05-04,11.9,11.9,9.52,9.52,2.38,2.38,14.29,9.52,7.14,4.76,0.0,0.0,0.0,0.0,2.38,7.14,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,2.38,0.0,0.0,0.0,0.0,0.0
2025-05-05,33.33,10.0,6.67,10.0,0.0,0.0,13.33,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-06,40.0,20.0,2.86,8.57,0.0,0.0,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
2025-05-07,43.33,3.33,0.0,3.33,0.0,6.67,6.67,3.33,6.67,0.0,0.0,0.0,6.67,0.0,3.33,3.33,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0
2025-05-08,71.43,4.76,0.0,4.76,0.0,4.76,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-09,33.33,33.33,6.67,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,6.67,0.0,0.0,0.0,0.0,0.0
2025-05-10,41.67,25.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-11,19.23,7.69,3.85,34.62,0.0,0.0,0.0,0.0,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,11.54,0.0,3.85,0.0,0.0,0.0,0.0,0.0
2025-05-12,14.29,14.29,0.0,28.57,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-13,66.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-14,53.85,0.0,0.0,15.38,0.0,0.0,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-15,36.36,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0
2025-05-16,30.0,25.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-17,32.0,28.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-18,27.59,41.38,0.0,10.34,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0
2025-05-19,50.0,14.29,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,7.14,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0
2025-05-20,9.09,27.27,9.09,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0
2025-05-21,20.0,24.0,4.0,12.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-22,26.09,13.04,0.0,4.35,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,0.0,4.35,0.0,0.0,0.0,0.0,0.0
2025-05-23,17.39,17.39,4.35,0.0,0.0,0.0,8.7,0.0,0.0,21.74,0.0,0.0,0.0,0.0,4.35,4.35,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,8.7,0.0,0.0,0.0,0.0,0.0
2025-05-24,48.39,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,9.68,0.0,0.0,0.0,0.0,6.45,6.45,0.0,0.0,3.23,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-25,29.17,0.0,0.0,12.5,0.0,0.0,4.17,4.17,8.33,4.17,0.0,0.0,0.0,0.0,12.5,4.17,0.0,0.0,8.33,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-26,24.14,10.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,0.0,0.0,0.0,0.0,3.45,3.45,0.0,0.0,0.0,0.0,0.0,0.0,24.14,0.0,10.34,0.0,0.0,0.0,0.0,0.0
2025-05-27,11.11,42.22,0.0,0.0,0.0,0.0,2.22,4.44,4.44,4.44,0.0,0.0,0.0,0.0,6.67,4.44,0.0,0.0,0.0,0.0,0.0,0.0,17.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-28,36.84,13.16,2.63,2.63,0.0,0.0,15.79,0.0,5.26,7.89,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,2.63,0.0,0.0,0.0,0.0,0.0
2025-05-29,9.52,9.52,0.0,14.29,0.0,0.0,4.76,0.0,0.0,19.05,0.0,0.0,0.0,0.0,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-30,6.25,25.0,18.75,0.0,0.0,0.0,6.25,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
